treatment,bacteria,soil,replicate,nodes,mass_mg
Y_Sa,Yes,Sand,71,11,17
Y_Sa,Yes,Sand,72,7,18
Y_Te,Yes,Terrain,1,7,20
Y_Te,Yes,Terrain,2,4,22
Y_Te,Yes,Terrain,3,12,24
Y_Te,Yes,Terrain,4,8,19
Y_Te,Yes,Terrain,5,1,22
Y_Te,Yes,Terrain,6,3,18
Y_Te,Yes,Terrain,7,6,19
Y_Te,Yes,Terrain,8,7,27
Y_Te,Yes,Terrain,9,7,30
Y_Te,Yes,Terrain,10,7,21
Y_Te,Yes,Terrain,11,6,22
Y_Te,Yes,Terrain,12,13,22
Y_Te,Yes,Terrain,13,9,23
Y_Te,Yes,Terrain,14,10,18
Y_Te,Yes,Terrain,15,6,23
Y_Te,Yes,Terrain,16,8,26
Y_Te,Yes,Terrain,17,10,30
Y_Te,Yes,Terrain,18,7,17
Y_Te,Yes,Terrain,19,6,21
Y_Te,Yes,Terrain,20,6,21
Y_Te,Yes,Terrain,21,7,33
Y_Te,Yes,Terrain,22,7,30
Y_Te,Yes,Terrain,23,7,20
Y_Te,Yes,Terrain,24,10,22
Y_Te,Yes,Terrain,25,7,27
Y_Te,Yes,Terrain,26,6,28
Y_Te,Yes,Terrain,27,7,23
Y_Te,Yes,Terrain,28,7,26
Y_Te,Yes,Terrain,29,4,23
Y_Te,Yes,Terrain,30,10,28
Y_Te,Yes,Terrain,31,9,25
Y_Te,Yes,Terrain,32,7,29
Y_Te,Yes,Terrain,33,7,28
Y_Te,Yes,Terrain,34,1,16
Y_Te,Yes,Terrain,35,4,29
Y_Te,Yes,Terrain,36,2,24
Y_Te,Yes,Terrain,37,10,29
Y_Te,Yes,Terrain,38,1,20
Y_Te,Yes,Terrain,39,7,17
Y_Te,Yes,Terrain,40,5,32
Y_Te,Yes,Terrain,41,6,16
Y_Te,Yes,Terrain,42,5,24
Y_Te,Yes,Terrain,43,8,28
Y_Te,Yes,Terrain,44,8,22
Y_Te,Yes,Terrain,45,3,25
Y_Te,Yes,Terrain,46,8,24
Y_Te,Yes,Terrain,47,5,29
Y_Te,Yes,Terrain,48,3,23
Y_Te,Yes,Terrain,49,5,29
Y_Te,Yes,Terrain,50,6,22
Y_Te,Yes,Terrain,51,7,26
Y_Te,Yes,Terrain,52,7,22
Y_Te,Yes,Terrain,53,7,31
Y_Te,Yes,Terrain,54,1,19
Y_Te,Yes,Terrain,55,4,24
Y_Te,Yes,Terrain,56,3,33
Y_Te,Yes,Terrain,57,1,20
Y_Te,Yes,Terrain,58,6,21
Y_Te,Yes,Terrain,59,9,23
Y_Te,Yes,Terrain,60,3,22
Y_Te,Yes,Terrain,61,4,21
Y_Te,Yes,Terrain,62,10,27
Y_Te,Yes,Terrain,63,7,14
Y_Te,Yes,Terrain,64,9,26
Y_Te,Yes,Terrain,65,8,20
Y_Te,Yes,Terrain,66,6,21
Y_Te,Yes,Terrain,67,6,28
Y_Te,Yes,Terrain,68,6,24
Y_Te,Yes,Terrain,69,12,27
Y_Te,Yes,Terrain,70,5,21
Y_Te,Yes,Terrain,71,9,25
Y_Te,Yes,Terrain,72,8,22
Y_Ma,Yes,Martian,1,5,13
Y_Ma,Yes,Martian,2,4,17
Y_Ma,Yes,Martian,3,4,10
Y_Ma,Yes,Martian,4,4,13
Y_Ma,Yes,Martian,5,4,16
Y_Ma,Yes,Martian,6,4,17
Y_Ma,Yes,Martian,7,4,17
Y_Ma,Yes,Martian,8,3,18
Y_Ma,Yes,Martian,9,4,9
Y_Ma,Yes,Martian,10,2,15
Y_Ma,Yes,Martian,11,3,13
Y_Ma,Yes,Martian,12,1,20
Y_Ma,Yes,Martian,13,2,12
Y_Ma,Yes,Martian,14,6,10
Y_Ma,Yes,Martian,15,6,14
Y_Ma,Yes,Martian,16,5,15
Y_Ma,Yes,Martian,17,2,18
Y_Ma,Yes,Martian,18,4,14
Y_Ma,Yes,Martian,19,5,12
Y_Ma,Yes,Martian,20,4,17
Y_Ma,Yes,Martian,21,3,18
Y_Ma,Yes,Martian,22,1,9
